action 1: (3, 4) build type 1
actionProfitValue = 0.324659, totalProfit = 181.880552 => action 334: (1, 5) upgrade
actionProfitValue = 0.324643, totalProfit = 182.205210 => action 335: (1, 3) upgrade
actionProfitValue = 0.323637, totalProfit = 182.529853 => action 336: (1, 1) upgrade
actionProfitValue = 0.323043, totalProfit = 182.853490 => action 337: (6, 2) upgrade
actionProfitValue = 0.323020, totalProfit = 183.176533 => action 338: (3, 1) upgrade
actionProfitValue = 0.323009, totalProfit = 183.499553 => action 339: (6, 1) upgrade
actionProfitValue = 0.322752, totalProfit = 183.822562 => action 340: (1, 0) upgrade
actionProfitValue = 0.322353, totalProfit = 184.145314 => action 341: (3, 4) upgrade
actionProfitValue = 0.321641, totalProfit = 184.467667 => action 342: (3, 5) upgrade
actionProfitValue = 0.320343, totalProfit = 184.789308 => action 343: (3, 6) upgrade
actionProfitValue = 0.320024, totalProfit = 185.109651 => action 344: (6, 3) upgrade
actionProfitValue = 0.319367, totalProfit = 185.429675 => action 345: (1, 2) upgrade
actionProfitValue = 0.319004, totalProfit = 185.749042 => action 346: (5, 3) upgrade
actionProfitValue = 0.318880, totalProfit = 186.068046 => action 347: (5, 4) upgrade
actionProfitValue = 0.318035, totalProfit = 186.386927 => action 348: (5, 2) upgrade
actionProfitValue = 0.317171, totalProfit = 186.704962 => action 349: (3, 7) upgrade
actionProfitValue = 0.316384, totalProfit = 187.022133 => action 350: (1, 6) upgrade
actionProfitValue = 0.314877, totalProfit = 187.338517 => action 351: (3, 3) upgrade
actionProfitValue = 0.312229, totalProfit = 187.653394 => action 352: (7, 6) build type 2
actionProfitValue = 0.312013, totalProfit = 187.965623 => action 353: (1, 4) upgrade
actionProfitValue = 0.311641, totalProfit = 188.277636 => action 354: (3, 2) upgrade
actionProfitValue = 0.311541, totalProfit = 188.589277 => action 355: (1, 5) upgrade
actionProfitValue = 0.311526, totalProfit = 188.900818 => action 356: (6, 6) upgrade
actionProfitValue = 0.311448, totalProfit = 189.212344 => action 357: (6, 4) upgrade
actionProfitValue = 0.311124, totalProfit = 189.523792 => action 358: (6, 5) upgrade
actionProfitValue = 0.310766, totalProfit = 189.834916 => action 359: (5, 5) upgrade
actionProfitValue = 0.310416, totalProfit = 190.145682 => action 360: (1, 1) upgrade
actionProfitValue = 0.309990, totalProfit = 190.456099 => action 361: (3, 1) upgrade
actionProfitValue = 0.309958, totalProfit = 190.766089 => action 362: (1, 3) upgrade
actionProfitValue = 0.309876, totalProfit = 191.076047 => action 363: (5, 1) upgrade
actionProfitValue = 0.308344, totalProfit = 191.385923 => action 364: (5, 6) upgrade
actionProfitValue = 0.308054, totalProfit = 191.694266 => action 365: (3, 4) upgrade
actionProfitValue = 0.307965, totalProfit = 192.002320 => action 366: (7, 3) upgrade
actionProfitValue = 0.307176, totalProfit = 192.310285 => action 367: (3, 6) upgrade
actionProfitValue = 0.307094, totalProfit = 192.617461 => action 368: (5, 3) upgrade
actionProfitValue = 0.305322, totalProfit = 192.924555 => action 369: (6, 2) upgrade
actionProfitValue = 0.304883, totalProfit = 193.229877 => action 370: (7, 4) upgrade
actionProfitValue = 0.304817, totalProfit = 193.534760 => action 371: (1, 0) upgrade
actionProfitValue = 0.303902, totalProfit = 193.839577 => action 372: (7, 1) build type 5
actionProfitValue = 0.302064, totalProfit = 194.143478 => action 373: (7, 1) upgrade
actionProfitValue = 0.377580, totalProfit = 194.445542 => action 374: (7, 1) upgrade
actionProfitValue = 0.352762, totalProfit = 194.823123 => action 375: (7, 1) upgrade
actionProfitValue = 0.329574, totalProfit = 195.175884 => action 376: (7, 1) upgrade
actionProfitValue = 0.307910, totalProfit = 195.505458 => action 377: (3, 5) upgrade
actionProfitValue = 0.302007, totalProfit = 195.813368 => action 378: (6, 1) upgrade
actionProfitValue = 0.301537, totalProfit = 196.115375 => action 379: (6, 3) upgrade
actionProfitValue = 0.301435, totalProfit = 196.416912 => action 380: (1, 2) upgrade
actionProfitValue = 0.300745, totalProfit = 196.718347 => action 381: (5, 4) upgrade
actionProfitValue = 0.300176, totalProfit = 197.019092 => action 382: (3, 3) upgrade
actionProfitValue = 0.299614, totalProfit = 197.319268 => action 383: (5, 2) upgrade
actionProfitValue = 0.299362, totalProfit = 197.618883 => action 384: (1, 4) upgrade
actionProfitValue = 0.299050, totalProfit = 197.918244 => action 385: (3, 2) upgrade
actionProfitValue = 0.298954, totalProfit = 198.217294 => action 386: (1, 5) upgrade
actionProfitValue = 0.298939, totalProfit = 198.516247 => action 387: (3, 7) upgrade
actionProfitValue = 0.298275, totalProfit = 198.815187 => action 388: (1, 1) upgrade
actionProfitValue = 0.297466, totalProfit = 199.113461 => action 389: (3, 1) upgrade
actionProfitValue = 0.297435, totalProfit = 199.410927 => action 390: (1, 6) upgrade
actionProfitValue = 0.296853, totalProfit = 199.708362 => action 391: (5, 0) upgrade
actionProfitValue = 0.296830, totalProfit = 200.005215 => action 392: (1, 3) upgrade
actionProfitValue = 0.296699, totalProfit = 200.302045 => action 393: (3, 4) upgrade
actionProfitValue = 0.294869, totalProfit = 200.598744 => action 394: (6, 0) build type 2
actionProfitValue = 0.294699, totalProfit = 200.893613 => action 395: (3, 6) upgrade
actionProfitValue = 0.294685, totalProfit = 201.188313 => action 396: (6, 6) upgrade
actionProfitValue = 0.293960, totalProfit = 201.482998 => action 397: (6, 4) upgrade
actionProfitValue = 0.293654, totalProfit = 201.776958 => action 398: (6, 5) upgrade
actionProfitValue = 0.293317, totalProfit = 202.070612 => action 399: (5, 5) upgrade
actionProfitValue = 0.292987, totalProfit = 202.363929 => action 400: (5, 3) upgrade
actionProfitValue = 0.292339, totalProfit = 202.656917 => action 401: (5, 1) upgrade
actionProfitValue = 0.291030, totalProfit = 202.949255 => action 402: (5, 6) upgrade
actionProfitValue = 0.290756, totalProfit = 203.240286 => action 403: (7, 3) upgrade
actionProfitValue = 0.289928, totalProfit = 203.531042 => action 404: (6, 2) upgrade
actionProfitValue = 0.287763, totalProfit = 203.820970 => action 405: (7, 4) upgrade
actionProfitValue = 0.287702, totalProfit = 204.108733 => action 406: (7, 1) upgrade
actionProfitValue = 0.287670, totalProfit = 204.396435 => action 407: (3, 3) upgrade
actionProfitValue = 0.287508, totalProfit = 204.684105 => action 408: (1, 4) upgrade
actionProfitValue = 0.286967, totalProfit = 204.971613 => action 409: (3, 2) upgrade
actionProfitValue = 0.286875, totalProfit = 205.258580 => action 410: (1, 5) upgrade
actionProfitValue = 0.286861, totalProfit = 205.545454 => action 411: (1, 0) upgrade
actionProfitValue = 0.286507, totalProfit = 205.832315 => action 412: (1, 1) upgrade
actionProfitValue = 0.285447, totalProfit = 206.118822 => action 413: (3, 1) upgrade
actionProfitValue = 0.285417, totalProfit = 206.404269 => action 414: (3, 5) upgrade
actionProfitValue = 0.284720, totalProfit = 206.689686 => action 415: (6, 3) upgrade
actionProfitValue = 0.284509, totalProfit = 206.974406 => action 416: (1, 3) upgrade
actionProfitValue = 0.284084, totalProfit = 207.258915 => action 417: (1, 2) upgrade
actionProfitValue = 0.283530, totalProfit = 207.542999 => action 418: (5, 4) upgrade
actionProfitValue = 0.283322, totalProfit = 207.826529 => action 419: (7, 2) upgrade
actionProfitValue = 0.283291, totalProfit = 208.109851 => action 420: (3, 6) upgrade
actionProfitValue = 0.282780, totalProfit = 208.393143 => action 421: (5, 2) upgrade
actionProfitValue = 0.282553, totalProfit = 208.675922 => action 422: (3, 4) upgrade
actionProfitValue = 0.282332, totalProfit = 208.958475 => action 423: (6, 1) upgrade
actionProfitValue = 0.281717, totalProfit = 209.240807 => action 424: (3, 7) upgrade
actionProfitValue = 0.281202, totalProfit = 209.522524 => action 425: (5, 0) upgrade
actionProfitValue = 0.280163, totalProfit = 209.803726 => action 426: (5, 3) upgrade
actionProfitValue = 0.279908, totalProfit = 210.083888 => action 427: (1, 6) upgrade
actionProfitValue = 0.279862, totalProfit = 210.363797 => action 428: (7, 5) upgrade
actionProfitValue = 0.279670, totalProfit = 210.643658 => action 429: (6, 6) upgrade
actionProfitValue = 0.277454, totalProfit = 210.923329 => action 430: (6, 4) upgrade
actionProfitValue = 0.277166, totalProfit = 211.200782 => action 431: (6, 5) upgrade
actionProfitValue = 0.276847, totalProfit = 211.477948 => action 432: (5, 5) upgrade
actionProfitValue = 0.276536, totalProfit = 211.754795 => action 433: (3, 3) upgrade
actionProfitValue = 0.275892, totalProfit = 212.031330 => action 434: (1, 4) upgrade
actionProfitValue = 0.275372, totalProfit = 212.307222 => action 435: (3, 2) upgrade
actionProfitValue = 0.275284, totalProfit = 212.582595 => action 436: (1, 5) upgrade
actionProfitValue = 0.275270, totalProfit = 212.857878 => action 437: (5, 1) upgrade
actionProfitValue = 0.274689, totalProfit = 213.133149 => action 438: (5, 6) upgrade
actionProfitValue = 0.274430, totalProfit = 213.407837 => action 439: (1, 1) upgrade
actionProfitValue = 0.273914, totalProfit = 213.682267 => action 440: (3, 1) upgrade
actionProfitValue = 0.273885, totalProfit = 213.956181 => action 441: (7, 3) upgrade
actionProfitValue = 0.273648, totalProfit = 214.230065 => action 442: (1, 3) upgrade
actionProfitValue = 0.272004, totalProfit = 214.503713 => action 443: (6, 2) upgrade
actionProfitValue = 0.271606, totalProfit = 214.775717 => action 444: (7, 4) upgrade
actionProfitValue = 0.271547, totalProfit = 215.047323 => action 445: (3, 6) upgrade
actionProfitValue = 0.271354, totalProfit = 215.318869 => action 446: (3, 4) upgrade
actionProfitValue = 0.270326, totalProfit = 215.590223 => action 447: (1, 0) upgrade
actionProfitValue = 0.270107, totalProfit = 215.860549 => action 448: (7, 1) upgrade
actionProfitValue = 0.268761, totalProfit = 216.130656 => action 449: (6, 3) upgrade
actionProfitValue = 0.268533, totalProfit = 216.399417 => action 450: (3, 5) upgrade
actionProfitValue = 0.268423, totalProfit = 216.667951 => action 451: (5, 3) upgrade
actionProfitValue = 0.268007, totalProfit = 216.936374 => action 452: (5, 4) upgrade
actionProfitValue = 0.267413, totalProfit = 217.204381 => action 453: (7, 2) upgrade
actionProfitValue = 0.267385, totalProfit = 217.471794 => action 454: (1, 2) upgrade
actionProfitValue = 0.267301, totalProfit = 217.739179 => action 455: (5, 2) upgrade
actionProfitValue = 0.266687, totalProfit = 218.006481 => action 456: (3, 7) upgrade
actionProfitValue = 0.265106, totalProfit = 218.273168 => action 457: (3, 3) upgrade
actionProfitValue = 0.264745, totalProfit = 218.538273 => action 458: (5, 0) upgrade
actionProfitValue = 0.264431, totalProfit = 218.803018 => action 459: (1, 4) upgrade
actionProfitValue = 0.264246, totalProfit = 219.067450 => action 460: (3, 2) upgrade
actionProfitValue = 0.264161, totalProfit = 219.331696 => action 461: (1, 5) upgrade
actionProfitValue = 0.264149, totalProfit = 219.595857 => action 462: (7, 5) upgrade
actionProfitValue = 0.263967, totalProfit = 219.860006 => action 463: (1, 6) upgrade
actionProfitValue = 0.263843, totalProfit = 220.123973 => action 464: (6, 1) upgrade
actionProfitValue = 0.263198, totalProfit = 220.387816 => action 465: (1, 1) upgrade
actionProfitValue = 0.262847, totalProfit = 220.651014 => action 466: (3, 1) upgrade
actionProfitValue = 0.262819, totalProfit = 220.913861 => action 467: (6, 6) upgrade
actionProfitValue = 0.261875, totalProfit = 221.176679 => action 468: (6, 4) upgrade
actionProfitValue = 0.261603, totalProfit = 221.438554 => action 469: (6, 5) upgrade
actionProfitValue = 0.261303, totalProfit = 221.700157 => action 470: (5, 5) upgrade
actionProfitValue = 0.261008, totalProfit = 221.961459 => action 471: (1, 3) upgrade
actionProfitValue = 0.260439, totalProfit = 222.222467 => action 472: (3, 6) upgrade
actionProfitValue = 0.260390, totalProfit = 222.482906 => action 473: (5, 1) upgrade
actionProfitValue = 0.259265, totalProfit = 222.743296 => action 474: (5, 6) upgrade
actionProfitValue = 0.259021, totalProfit = 223.002561 => action 475: (3, 4) upgrade
actionProfitValue = 0.258832, totalProfit = 223.261582 => action 476: (7, 3) upgrade
actionProfitValue = 0.258283, totalProfit = 223.520414 => action 477: (5, 3) upgrade
actionProfitValue = 0.256610, totalProfit = 223.778697 => action 478: (6, 2) upgrade
actionProfitValue = 0.256355, totalProfit = 224.035307 => action 479: (7, 4) upgrade
actionProfitValue = 0.256299, totalProfit = 224.291662 => action 480: (1, 0) upgrade
actionProfitValue = 0.254646, totalProfit = 224.547962 => action 481: (3, 3) upgrade
actionProfitValue = 0.254048, totalProfit = 224.802608 => action 482: (1, 4) upgrade
actionProfitValue = 0.253569, totalProfit = 225.056656 => action 483: (3, 2) upgrade
actionProfitValue = 0.253488, totalProfit = 225.310225 => action 484: (1, 5) upgrade
actionProfitValue = 0.253476, totalProfit = 225.563713 => action 485: (6, 3) upgrade
actionProfitValue = 0.253456, totalProfit = 225.817189 => action 486: (3, 5) upgrade
actionProfitValue = 0.253059, totalProfit = 226.070645 => action 487: (5, 4) upgrade
actionProfitValue = 0.252398, totalProfit = 226.323703 => action 488: (7, 2) upgrade
actionProfitValue = 0.252371, totalProfit = 226.576101 => action 489: (1, 1) upgrade
actionProfitValue = 0.252226, totalProfit = 226.828472 => action 490: (3, 1) upgrade
actionProfitValue = 0.252200, totalProfit = 227.080698 => action 491: (1, 2) upgrade
actionProfitValue = 0.252001, totalProfit = 227.332898 => action 492: (5, 2) upgrade
actionProfitValue = 0.251713, totalProfit = 227.584900 => action 493: (7, 1) upgrade
actionProfitValue = 0.251095, totalProfit = 227.836613 => action 494: (3, 7) upgrade
actionProfitValue = 0.249932, totalProfit = 228.087707 => action 495: (3, 6) upgrade
actionProfitValue = 0.249869, totalProfit = 228.337639 => action 496: (7, 6) upgrade
actionProfitValue = 0.249610, totalProfit = 228.587508 => action 497: (5, 0) upgrade
actionProfitValue = 0.249583, totalProfit = 228.837118 => action 498: (1, 3) upgrade
actionProfitValue = 0.249364, totalProfit = 229.086702 => action 499: (7, 5) upgrade
actionProfitValue = 0.249145, totalProfit = 229.336066 => action 500: (1, 6) upgrade
actionProfitValue = 0.248741, totalProfit = 229.585211 => action 501: (3, 4) upgrade
actionProfitValue = 0.247826, totalProfit = 229.833952 => action 502: (6, 6) upgrade
actionProfitValue = 0.247170, totalProfit = 230.081778 => action 503: (6, 4) upgrade
actionProfitValue = 0.246914, totalProfit = 230.328948 => action 504: (6, 5) upgrade
actionProfitValue = 0.246630, totalProfit = 230.575862 => action 505: (5, 5) upgrade
actionProfitValue = 0.246352, totalProfit = 230.822492 => action 506: (6, 1) upgrade
actionProfitValue = 0.245898, totalProfit = 231.068844 => action 507: (5, 3) upgrade
actionProfitValue = 0.245699, totalProfit = 231.314742 => action 508: (5, 1) upgrade
actionProfitValue = 0.244707, totalProfit = 231.560442 => action 509: (5, 6) upgrade
actionProfitValue = 0.244476, totalProfit = 231.805149 => action 510: (3, 3) upgrade
actionProfitValue = 0.243783, totalProfit = 232.049626 => action 511: (7, 3) upgrade
actionProfitValue = 0.243780, totalProfit = 232.293409 => action 512: (1, 4) upgrade
actionProfitValue = 0.243324, totalProfit = 232.537189 => action 513: (3, 2) upgrade
actionProfitValue = 0.243246, totalProfit = 232.780513 => action 514: (1, 5) upgrade
actionProfitValue = 0.243234, totalProfit = 233.023759 => action 515: (1, 1) upgrade
actionProfitValue = 0.242036, totalProfit = 233.266994 => action 516: (3, 1) upgrade
actionProfitValue = 0.242010, totalProfit = 233.509029 => action 517: (6, 2) upgrade
actionProfitValue = 0.241960, totalProfit = 233.751039 => action 518: (7, 4) upgrade
actionProfitValue = 0.241908, totalProfit = 233.992999 => action 519: (1, 0) upgrade
actionProfitValue = 0.240071, totalProfit = 234.234908 => action 520: (3, 6) upgrade
actionProfitValue = 0.239774, totalProfit = 234.474978 => action 521: (6, 3) upgrade
actionProfitValue = 0.239224, totalProfit = 234.714752 => action 522: (1, 3) upgrade
actionProfitValue = 0.238761, totalProfit = 234.953976 => action 523: (3, 5) upgrade
actionProfitValue = 0.238574, totalProfit = 235.192737 => action 524: (5, 4) upgrade
actionProfitValue = 0.238226, totalProfit = 235.431311 => action 525: (7, 2) upgrade
actionProfitValue = 0.238200, totalProfit = 235.669537 => action 526: (5, 2) upgrade
actionProfitValue = 0.237579, totalProfit = 235.907737 => action 527: (1, 2) upgrade
actionProfitValue = 0.237577, totalProfit = 236.145316 => action 528: (3, 4) upgrade
actionProfitValue = 0.237288, totalProfit = 236.382893 => action 529: (6, 0) upgrade
actionProfitValue = 0.235760, totalProfit = 236.620182 => action 530: (3, 7) upgrade
actionProfitValue = 0.235626, totalProfit = 236.855941 => action 531: (7, 6) upgrade
actionProfitValue = 0.235595, totalProfit = 237.091567 => action 532: (5, 0) upgrade
actionProfitValue = 0.235569, totalProfit = 237.327162 => action 533: (5, 3) upgrade
actionProfitValue = 0.235252, totalProfit = 237.562731 => action 534: (7, 5) upgrade
actionProfitValue = 0.235155, totalProfit = 237.797983 => action 535: (7, 1) upgrade
actionProfitValue = 0.234589, totalProfit = 238.033138 => action 536: (1, 6) upgrade
actionProfitValue = 0.234503, totalProfit = 238.267727 => action 537: (3, 3) upgrade
actionProfitValue = 0.233934, totalProfit = 238.502230 => action 538: (1, 4) upgrade
actionProfitValue = 0.233493, totalProfit = 238.736164 => action 539: (3, 2) upgrade
actionProfitValue = 0.233418, totalProfit = 238.969657 => action 540: (1, 5) upgrade
actionProfitValue = 0.233407, totalProfit = 239.203075 => action 541: (6, 6) upgrade
actionProfitValue = 0.233292, totalProfit = 239.436482 => action 542: (6, 4) upgrade
actionProfitValue = 0.233049, totalProfit = 239.669773 => action 543: (6, 5) upgrade
actionProfitValue = 0.232781, totalProfit = 239.902823 => action 544: (5, 5) upgrade
actionProfitValue = 0.232519, totalProfit = 240.135604 => action 545: (1, 1) upgrade
actionProfitValue = 0.232256, totalProfit = 240.368124 => action 546: (3, 1) upgrade
actionProfitValue = 0.232232, totalProfit = 240.600380 => action 547: (5, 1) upgrade
actionProfitValue = 0.230967, totalProfit = 240.832611 => action 548: (5, 6) upgrade
actionProfitValue = 0.230749, totalProfit = 241.063578 => action 549: (7, 3) upgrade
actionProfitValue = 0.230092, totalProfit = 241.294327 => action 550: (3, 6) upgrade
actionProfitValue = 0.230086, totalProfit = 241.524419 => action 551: (6, 1) upgrade
actionProfitValue = 0.229734, totalProfit = 241.754505 => action 552: (1, 3) upgrade
actionProfitValue = 0.228609, totalProfit = 241.984239 => action 553: (6, 2) upgrade
actionProfitValue = 0.228375, totalProfit = 242.212848 => action 554: (7, 4) upgrade
actionProfitValue = 0.228325, totalProfit = 242.441222 => action 555: (3, 4) upgrade
actionProfitValue = 0.227199, totalProfit = 242.669547 => action 556: (1, 0) upgrade
actionProfitValue = 0.226329, totalProfit = 242.896746 => action 557: (6, 3) upgrade
actionProfitValue = 0.225791, totalProfit = 243.123075 => action 558: (5, 3) upgrade
actionProfitValue = 0.225249, totalProfit = 243.348867 => action 559: (3, 5) upgrade
actionProfitValue = 0.224918, totalProfit = 243.574115 => action 560: (5, 4) upgrade
actionProfitValue = 0.224849, totalProfit = 243.799033 => action 561: (7, 2) upgrade
actionProfitValue = 0.224825, totalProfit = 244.023883 => action 562: (3, 3) upgrade
actionProfitValue = 0.224482, totalProfit = 244.248708 => action 563: (5, 2) upgrade
actionProfitValue = 0.224239, totalProfit = 244.473190 => action 564: (1, 4) upgrade
actionProfitValue = 0.224059, totalProfit = 244.697428 => action 565: (3, 2) upgrade
actionProfitValue = 0.223987, totalProfit = 244.921487 => action 566: (1, 2) upgrade
actionProfitValue = 0.223978, totalProfit = 245.145474 => action 567: (1, 5) upgrade
actionProfitValue = 0.223976, totalProfit = 245.369452 => action 568: (1, 1) upgrade
actionProfitValue = 0.222872, totalProfit = 245.593428 => action 569: (3, 1) upgrade
actionProfitValue = 0.222849, totalProfit = 245.816301 => action 570: (6, 0) upgrade
actionProfitValue = 0.222521, totalProfit = 246.039150 => action 571: (7, 0) build type 2
actionProfitValue = 0.222454, totalProfit = 246.261671 => action 572: (7, 6) upgrade
actionProfitValue = 0.222366, totalProfit = 246.484125 => action 573: (5, 0) upgrade
actionProfitValue = 0.222342, totalProfit = 246.706491 => action 574: (3, 7) upgrade
actionProfitValue = 0.222138, totalProfit = 246.928834 => action 575: (7, 5) upgrade
actionProfitValue = 0.221951, totalProfit = 247.150972 => action 576: (1, 6) upgrade
actionProfitValue = 0.221080, totalProfit = 247.372924 => action 577: (3, 6) upgrade
actionProfitValue = 0.220789, totalProfit = 247.594004 => action 578: (6, 6) upgrade
actionProfitValue = 0.220192, totalProfit = 247.814793 => action 579: (6, 4) upgrade
actionProfitValue = 0.219964, totalProfit = 248.034985 => action 580: (6, 5) upgrade
actionProfitValue = 0.219711, totalProfit = 248.254949 => action 581: (5, 5) upgrade
actionProfitValue = 0.219464, totalProfit = 248.474660 => action 582: (7, 1) upgrade
actionProfitValue = 0.219169, totalProfit = 248.694123 => action 583: (1, 3) upgrade
actionProfitValue = 0.218888, totalProfit = 248.913293 => action 584: (5, 1) upgrade
actionProfitValue = 0.217998, totalProfit = 249.132181 => action 585: (5, 6) upgrade
actionProfitValue = 0.217792, totalProfit = 249.350179 => action 586: (3, 4) upgrade
actionProfitValue = 0.217538, totalProfit = 249.567972 => action 587: (7, 3) upgrade
actionProfitValue = 0.217172, totalProfit = 249.785510 => action 588: (5, 3) upgrade
actionProfitValue = 0.215671, totalProfit = 250.002681 => action 589: (6, 2) upgrade
actionProfitValue = 0.215551, totalProfit = 250.218353 => action 590: (7, 4) upgrade
actionProfitValue = 0.215504, totalProfit = 250.433904 => action 591: (3, 3) upgrade
actionProfitValue = 0.215412, totalProfit = 250.649408 => action 592: (1, 4) upgrade
actionProfitValue = 0.215006, totalProfit = 250.864820 => action 593: (3, 2) upgrade
actionProfitValue = 0.214937, totalProfit = 251.079826 => action 594: (1, 5) upgrade
actionProfitValue = 0.214926, totalProfit = 251.294763 => action 595: (6, 1) upgrade
actionProfitValue = 0.214633, totalProfit = 251.509689 => action 596: (1, 1) upgrade
actionProfitValue = 0.213867, totalProfit = 251.724323 => action 597: (3, 1) upgrade
actionProfitValue = 0.213844, totalProfit = 251.938190 => action 598: (1, 0) upgrade
actionProfitValue = 0.213374, totalProfit = 252.152034 => action 599: (6, 3) upgrade
actionProfitValue = 0.213113, totalProfit = 252.365409 => action 600: (5, 4) upgrade
actionProfitValue = 0.212224, totalProfit = 252.578522 => action 601: (7, 2) upgrade
actionProfitValue = 0.212201, totalProfit = 252.790746 => action 602: (3, 5) upgrade
actionProfitValue = 0.212044, totalProfit = 253.002947 => action 603: (3, 6) upgrade
actionProfitValue = 0.211869, totalProfit = 253.214991 => action 604: (5, 2) upgrade
actionProfitValue = 0.211648, totalProfit = 253.426859 => action 605: (1, 2) upgrade
actionProfitValue = 0.211158, totalProfit = 253.638507 => action 606: (6, 0) upgrade
actionProfitValue = 0.210027, totalProfit = 253.849665 => action 607: (7, 6) upgrade
actionProfitValue = 0.209880, totalProfit = 254.059692 => action 608: (5, 0) upgrade
actionProfitValue = 0.209858, totalProfit = 254.269572 => action 609: (1, 3) upgrade
actionProfitValue = 0.209581, totalProfit = 254.479430 => action 610: (7, 5) upgrade
actionProfitValue = 0.209489, totalProfit = 254.689011 => action 611: (3, 7) upgrade
actionProfitValue = 0.209424, totalProfit = 254.898499 => action 612: (1, 6) upgrade
actionProfitValue = 0.208426, totalProfit = 255.107923 => action 613: (3, 4) upgrade
actionProfitValue = 0.208288, totalProfit = 255.316349 => action 614: (6, 6) upgrade
actionProfitValue = 0.207828, totalProfit = 255.524637 => action 615: (6, 4) upgrade
actionProfitValue = 0.207613, totalProfit = 255.732465 => action 616: (6, 5) upgrade
actionProfitValue = 0.207374, totalProfit = 255.940078 => action 617: (5, 5) upgrade
actionProfitValue = 0.207141, totalProfit = 256.147452 => action 618: (3, 3) upgrade
actionProfitValue = 0.206708, totalProfit = 256.354593 => action 619: (5, 3) upgrade
actionProfitValue = 0.206501, totalProfit = 256.561301 => action 620: (1, 4) upgrade
actionProfitValue = 0.206319, totalProfit = 256.767802 => action 621: (3, 2) upgrade
actionProfitValue = 0.206253, totalProfit = 256.974120 => action 622: (1, 5) upgrade
actionProfitValue = 0.206243, totalProfit = 257.180373 => action 623: (5, 1) upgrade
actionProfitValue = 0.205757, totalProfit = 257.386616 => action 624: (5, 6) upgrade
actionProfitValue = 0.205563, totalProfit = 257.592373 => action 625: (1, 1) upgrade
actionProfitValue = 0.205226, totalProfit = 257.797936 => action 626: (3, 1) upgrade
actionProfitValue = 0.205204, totalProfit = 258.003163 => action 627: (7, 3) upgrade
actionProfitValue = 0.204977, totalProfit = 258.208367 => action 628: (7, 1) upgrade
actionProfitValue = 0.204763, totalProfit = 258.413345 => action 629: (6, 2) upgrade
actionProfitValue = 0.203448, totalProfit = 258.618108 => action 630: (7, 4) upgrade
actionProfitValue = 0.203404, totalProfit = 258.821555 => action 631: (3, 6) upgrade
actionProfitValue = 0.203308, totalProfit = 259.024959 => action 632: (1, 0) upgrade
actionProfitValue = 0.201161, totalProfit = 259.228267 => action 633: (6, 3) upgrade
actionProfitValue = 0.201147, totalProfit = 259.429429 => action 634: (1, 3) upgrade
actionProfitValue = 0.200669, totalProfit = 259.630575 => action 635: (6, 1) upgrade
actionProfitValue = 0.200525, totalProfit = 259.831245 => action 636: (5, 4) upgrade
actionProfitValue = 0.200307, totalProfit = 260.031770 => action 637: (7, 2) upgrade
actionProfitValue = 0.200286, totalProfit = 260.232077 => action 638: (3, 5) upgrade
actionProfitValue = 0.199907, totalProfit = 260.432363 => action 639: (5, 2) upgrade
actionProfitValue = 0.199764, totalProfit = 260.632270 => action 640: (3, 4) upgrade
actionProfitValue = 0.199431, totalProfit = 260.832034 => action 641: (1, 2) upgrade
actionProfitValue = 0.199071, totalProfit = 261.031466 => action 642: (3, 3) upgrade
actionProfitValue = 0.198357, totalProfit = 261.230537 => action 643: (6, 0) upgrade
actionProfitValue = 0.198234, totalProfit = 261.428894 => action 644: (7, 6) upgrade
actionProfitValue = 0.198095, totalProfit = 261.627127 => action 645: (5, 0) upgrade
actionProfitValue = 0.198074, totalProfit = 261.825223 => action 646: (1, 4) upgrade
actionProfitValue = 0.197983, totalProfit = 262.023296 => action 647: (3, 2) upgrade
actionProfitValue = 0.197919, totalProfit = 262.221279 => action 648: (1, 5) upgrade
actionProfitValue = 0.197910, totalProfit = 262.419198 => action 649: (7, 5) upgrade
actionProfitValue = 0.197726, totalProfit = 262.617108 => action 650: (5, 3) upgrade
actionProfitValue = 0.197720, totalProfit = 262.814834 => action 651: (3, 7) upgrade
actionProfitValue = 0.197436, totalProfit = 263.012554 => action 652: (1, 1) upgrade
actionProfitValue = 0.196934, totalProfit = 263.209990 => action 653: (3, 1) upgrade
actionProfitValue = 0.196914, totalProfit = 263.406924 => action 654: (1, 6) upgrade
actionProfitValue = 0.196496, totalProfit = 263.603838 => action 655: (6, 6) upgrade
actionProfitValue = 0.196159, totalProfit = 263.800333 => action 656: (6, 4) upgrade
actionProfitValue = 0.195955, totalProfit = 263.996492 => action 657: (6, 5) upgrade
actionProfitValue = 0.195730, totalProfit = 264.192447 => action 658: (5, 5) upgrade
actionProfitValue = 0.195509, totalProfit = 264.388177 => action 659: (3, 6) upgrade
actionProfitValue = 0.195094, totalProfit = 264.583686 => action 660: (5, 1) upgrade
actionProfitValue = 0.194204, totalProfit = 264.778780 => action 661: (5, 6) upgrade
actionProfitValue = 0.194021, totalProfit = 264.972984 => action 662: (7, 3) upgrade
actionProfitValue = 0.193468, totalProfit = 265.167005 => action 663: (1, 3) upgrade
actionProfitValue = 0.192137, totalProfit = 265.360473 => action 664: (6, 2) upgrade
actionProfitValue = 0.192024, totalProfit = 265.552610 => action 665: (7, 4) upgrade
